# Архангельск / Температура / 2-3 дня / WeatherAPI.com
# n=439, MAE=2.410, RMSE=5.243, bias=-1.691
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (5.243/3.028)^2 = -1.9979  (RMSE_персистентности по 439 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,11.5,15.4,20.5,-3.9,3.9
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,11.2,15.5,15.6,-4.3,4.3
2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,10.8,14.4,14.6,-3.6,3.6
2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,11.5,15.4,20.5,-3.9,3.9
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,11.2,15.5,15.6,-4.3,4.3
2026-08-06T11:30:42Z,2026-08-08T18:00:00Z,54.5,10.8,14.4,14.6,-3.6,3.6
2026-08-06T11:36:01Z,2026-08-08T12:00:00Z,48.4,11.5,15.4,20.5,-3.9,3.9
2026-08-06T11:36:01Z,2026-08-08T15:00:00Z,51.4,11.2,15.5,15.6,-4.3,4.3
2026-08-06T11:36:01Z,2026-08-08T18:00:00Z,54.4,10.8,14.4,14.6,-3.6,3.6
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,11.5,15.4,20.5,-3.9,3.9
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,11.2,15.5,15.6,-4.3,4.3
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,10.8,14.4,14.6,-3.6,3.6
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,12.3,11.9,13.6,0.4,0.4
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,12.2,15.2,15.4,-3.0,3.0
2026-08-07T01:31:32Z,2026-08-09T09:00:00Z,55.5,12.5,16.5,15.0,-4.0,4.0
2026-08-07T01:31:32Z,2026-08-09T12:00:00Z,58.5,12.5,16.7,15.4,-4.2,4.2
2026-08-07T01:31:32Z,2026-08-09T15:00:00Z,61.5,12.5,17.0,15.5,-4.5,4.5
2026-08-07T01:31:32Z,2026-08-09T18:00:00Z,64.5,10.2,13.7,14.4,-3.5,3.5
2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,11.7,15.2,15.4,-3.5,3.5
2026-08-07T05:36:00Z,2026-08-09T09:00:00Z,51.4,12.1,16.5,15.0,-4.4,4.4
2026-08-07T05:36:00Z,2026-08-09T12:00:00Z,54.4,13.9,16.7,15.4,-2.8,2.8
2026-08-07T05:36:00Z,2026-08-09T15:00:00Z,57.4,13.8,17.0,15.5,-3.2,3.2
2026-08-07T05:36:00Z,2026-08-09T18:00:00Z,60.4,9.8,13.7,14.4,-3.9,3.9
2026-08-07T06:18:59Z,2026-08-09T09:00:00Z,50.7,12.1,16.5,15.0,-4.4,4.4
2026-08-07T06:18:59Z,2026-08-09T12:00:00Z,53.7,13.9,16.7,15.4,-2.8,2.8
2026-08-07T06:18:59Z,2026-08-09T15:00:00Z,56.7,13.8,17.0,15.5,-3.2,3.2
2026-08-07T06:18:59Z,2026-08-09T18:00:00Z,59.7,9.8,13.7,14.4,-3.9,3.9
2026-08-07T07:13:52Z,2026-08-09T09:00:00Z,49.8,13.8,16.5,15.0,-2.7,2.7
2026-08-07T07:13:52Z,2026-08-09T12:00:00Z,52.8,16.5,16.7,15.4,-0.2,0.2
2026-08-07T07:13:52Z,2026-08-09T15:00:00Z,55.8,15.3,17.0,15.5,-1.7,1.7
2026-08-07T07:13:52Z,2026-08-09T18:00:00Z,58.8,9.9,13.7,14.4,-3.8,3.8
2026-08-07T10:39:14Z,2026-08-09T12:00:00Z,49.3,16.5,16.7,15.4,-0.2,0.2
2026-08-07T10:39:14Z,2026-08-09T15:00:00Z,52.3,15.3,17.0,15.5,-1.7,1.7
2026-08-07T10:39:14Z,2026-08-09T18:00:00Z,55.3,9.9,13.7,14.4,-3.8,3.8
2026-08-07T16:51:54Z,2026-08-09T18:00:00Z,49.1,10.3,13.7,14.4,-3.4,3.4
2026-08-07T22:45:57Z,2026-08-10T00:00:00Z,49.2,8.6,10.8,13.1,-2.2,2.2
2026-08-07T22:45:57Z,2026-08-10T03:00:00Z,52.2,11.4,12.6,11.9,-1.2,1.2
2026-08-07T22:45:57Z,2026-08-10T06:00:00Z,55.2,17.9,16.9,15.2,1.0,1.0
2026-08-07T22:45:57Z,2026-08-10T09:00:00Z,58.2,21.7,20.6,16.5,1.1,1.1
2026-08-07T22:45:57Z,2026-08-10T12:00:00Z,61.2,22.8,22.3,16.7,0.5,0.5
2026-08-07T22:45:57Z,2026-08-10T15:00:00Z,64.2,21.6,21.8,17.0,-0.2,0.2
2026-08-07T22:45:57Z,2026-08-10T18:00:00Z,67.2,17.7,18.4,13.7,-0.7,0.7
2026-08-07T23:19:23Z,2026-08-10T00:00:00Z,48.7,8.7,10.8,13.1,-2.1,2.1
2026-08-07T23:19:23Z,2026-08-10T03:00:00Z,51.7,11.5,12.6,11.9,-1.1,1.1
2026-08-07T23:19:23Z,2026-08-10T06:00:00Z,54.7,18.0,16.9,15.2,1.1,1.1
2026-08-07T23:19:23Z,2026-08-10T09:00:00Z,57.7,21.8,20.6,16.5,1.2,1.2
2026-08-07T23:19:23Z,2026-08-10T12:00:00Z,60.7,22.9,22.3,16.7,0.6,0.6
2026-08-07T23:19:23Z,2026-08-10T15:00:00Z,63.7,21.7,21.8,17.0,-0.1,0.1
2026-08-07T23:19:23Z,2026-08-10T18:00:00Z,66.7,17.8,18.4,13.7,-0.6,0.6
2026-08-08T04:50:53Z,2026-08-10T06:00:00Z,49.2,18.2,16.9,15.2,1.3,1.3
2026-08-08T04:50:53Z,2026-08-10T09:00:00Z,52.2,21.9,20.6,16.5,1.3,1.3
2026-08-08T04:50:53Z,2026-08-10T12:00:00Z,55.2,22.6,22.3,16.7,0.3,0.3
2026-08-08T04:50:53Z,2026-08-10T15:00:00Z,58.2,21.7,21.8,17.0,-0.1,0.1
2026-08-08T04:50:53Z,2026-08-10T18:00:00Z,61.2,16.6,18.4,13.7,-1.8,1.8
2026-08-08T10:18:13Z,2026-08-10T12:00:00Z,49.7,23.2,22.3,16.7,0.9,0.9
2026-08-08T10:18:13Z,2026-08-10T15:00:00Z,52.7,21.7,21.8,17.0,-0.1,0.1
2026-08-08T10:18:13Z,2026-08-10T18:00:00Z,55.7,16.4,18.4,13.7,-2.0,2.0
2026-08-08T22:37:20Z,2026-08-11T00:00:00Z,49.4,13.3,15.3,10.8,-2.0,2.0
2026-08-08T22:37:20Z,2026-08-11T03:00:00Z,52.4,15.0,15.0,12.6,0.0,0.0
2026-08-08T22:37:20Z,2026-08-11T06:00:00Z,55.4,19.9,19.4,16.9,0.5,0.5
2026-08-08T22:37:20Z,2026-08-11T09:00:00Z,58.4,22.9,23.5,20.6,-0.6,0.6
2026-08-08T22:37:20Z,2026-08-11T12:00:00Z,61.4,20.7,24.1,22.3,-3.4,3.4
2026-08-08T22:37:20Z,2026-08-11T15:00:00Z,64.4,19.2,19.2,21.8,0.0,0.0
2026-08-08T22:37:20Z,2026-08-11T18:00:00Z,67.4,16.0,16.8,18.4,-0.8,0.8
2026-08-09T04:59:03Z,2026-08-11T06:00:00Z,49.0,19.2,19.4,16.9,-0.2,0.2
2026-08-09T04:59:03Z,2026-08-11T09:00:00Z,52.0,21.4,23.5,20.6,-2.1,2.1
2026-08-09T04:59:03Z,2026-08-11T12:00:00Z,55.0,20.5,24.1,22.3,-3.6,3.6
2026-08-09T04:59:03Z,2026-08-11T15:00:00Z,58.0,17.2,19.2,21.8,-2.0,2.0
2026-08-09T04:59:03Z,2026-08-11T18:00:00Z,61.0,15.4,16.8,18.4,-1.4,1.4
2026-08-09T10:19:29Z,2026-08-11T12:00:00Z,49.7,19.2,24.1,22.3,-4.9,4.9
2026-08-09T10:19:29Z,2026-08-11T15:00:00Z,52.7,15.2,19.2,21.8,-4.0,4.0
2026-08-09T10:19:29Z,2026-08-11T18:00:00Z,55.7,14.2,16.8,18.4,-2.6,2.6
2026-08-09T12:41:38Z,2026-08-11T15:00:00Z,50.3,15.2,19.2,21.8,-4.0,4.0
2026-08-09T12:41:38Z,2026-08-11T18:00:00Z,53.3,14.2,16.8,18.4,-2.6,2.6
2026-08-09T12:45:53Z,2026-08-11T15:00:00Z,50.2,15.2,19.2,21.8,-4.0,4.0
2026-08-09T12:45:53Z,2026-08-11T18:00:00Z,53.2,14.2,16.8,18.4,-2.6,2.6
2026-08-09T12:48:15Z,2026-08-11T15:00:00Z,50.2,15.2,19.2,21.8,-4.0,4.0
2026-08-09T12:48:15Z,2026-08-11T18:00:00Z,53.2,14.2,16.8,18.4,-2.6,2.6
2026-08-09T16:31:44Z,2026-08-11T18:00:00Z,49.5,15.9,16.8,18.4,-0.9,0.9
2026-08-09T22:39:09Z,2026-08-12T00:00:00Z,49.3,14.9,15.2,15.3,-0.3,0.3
2026-08-09T22:39:09Z,2026-08-12T03:00:00Z,52.3,14.5,14.5,15.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-12T06:00:00Z,55.3,14.9,14.7,19.4,0.2,0.2
2026-08-09T22:39:09Z,2026-08-12T09:00:00Z,58.3,14.8,15.2,23.5,-0.4,0.4
2026-08-09T22:39:09Z,2026-08-12T12:00:00Z,61.3,14.1,11.9,24.1,2.2,2.2
2026-08-09T22:39:09Z,2026-08-12T15:00:00Z,64.3,10.0,10.7,19.2,-0.7,0.7
2026-08-09T22:39:09Z,2026-08-12T18:00:00Z,67.3,8.8,9.3,16.8,-0.5,0.5
2026-08-10T05:20:42Z,2026-08-12T06:00:00Z,48.7,14.5,14.7,19.4,-0.2,0.2
2026-08-10T05:20:42Z,2026-08-12T09:00:00Z,51.7,14.6,15.2,23.5,-0.6,0.6
2026-08-10T05:20:42Z,2026-08-12T12:00:00Z,54.7,11.7,11.9,24.1,-0.2,0.2
2026-08-10T05:20:42Z,2026-08-12T15:00:00Z,57.7,11.7,10.7,19.2,1.0,1.0
2026-08-10T05:20:42Z,2026-08-12T18:00:00Z,60.7,10.4,9.3,16.8,1.1,1.1
2026-08-10T10:53:28Z,2026-08-12T12:00:00Z,49.1,15.2,11.9,24.1,3.3,3.3
2026-08-10T10:53:28Z,2026-08-12T15:00:00Z,52.1,12.5,10.7,19.2,1.8,1.8
2026-08-10T10:53:28Z,2026-08-12T18:00:00Z,55.1,9.9,9.3,16.8,0.6,0.6
2026-08-10T16:52:05Z,2026-08-12T18:00:00Z,49.1,7.8,9.3,16.8,-1.5,1.5
2026-08-10T22:47:13Z,2026-08-13T00:00:00Z,49.2,7.1,8.4,15.2,-1.3,1.3
2026-08-10T22:47:13Z,2026-08-13T03:00:00Z,52.2,6.6,8.4,14.5,-1.8,1.8
2026-08-10T22:47:13Z,2026-08-13T06:00:00Z,55.2,6.6,8.2,14.7,-1.6,1.6
2026-08-10T22:47:13Z,2026-08-13T09:00:00Z,58.2,7.1,8.3,15.2,-1.2,1.2
